nazwa,opis
Jas 27,Apartament 2-osobowy ul. Jastarniowa 27 bez parkingu
Jas 28,Apartament 4-osobowy ul. Jastarniowa 28 parking: tak
Jas 29,Apartament 4-osobowy ul. Jastarniowa 29 parking: tak
Jas 30,Apartament 4-osobowy ul. Jastarniowa 30 parking: tak
Jur 1,Apartament 4-osobowy ul. Juracka 1 parking: tak
Jur 2,Apartament 4-osobowy ul. Juracka 2 parking: tak
Jur 3,Apartament 4-osobowy ul. Juracka 3 parking: tak
Jur 4,Apartament 2-osobowy ul. Juracka 4 bez parkingu
Jur 5,Apartament 4-osobowy ul. Juracka 5 parking: tak
Jur 6,Apartament 6-osobowy ul. Juracka 6 parking: tak
Jur 7,Apartament 4-osobowy ul. Juracka 7 parking: tak
Jur 8,Apartament 4-osobowy ul. Juracka 8 parking: tak
Jur 9,Apartament 4-osobowy ul. Juracka 9 parking: tak
Jur 10,Apartament 4-osobowy ul. Juracka 10 parking: tak
Jur 11,Apartament 4-osobowy ul. Juracka 11 parking: tak
Jur 12,Apartament 4-osobowy ul. Juracka 12 parking: tak
Jur 13,Apartament 6-osobowy ul. Juracka 13 parking: tak
Jur 14,Apartament 4-osobowy ul. Juracka 14 parking: tak
Jur 15,Apartament 4-osobowy ul. Juracka 15 parking: tak
Jur 16,Apartament 4-osobowy ul. Juracka 16 parking: tak
Jur 17,Studio 2-osobowy ul. Juracka 17 bez parkingu
Jur 18,Apartament 4-osobowy ul. Juracka 18 parking: tak
Jur 19,Apartament 4-osobowy ul. Juracka 19 parking: tak
Jur 20,Apartament 4-osobowy ul. Juracka 20 parking: tak
Jur 21,Apartament 4-osobowy ul. Juracka 21 parking: tak zwierzeta - tak
Jur 22,Apartament 4-osobowy ul. Juracka 22 parking: tak
Jur 23,Apartament 6-osobowy ul. Juracka 23 parking: tak
Jur 24,Apartament 4-osobowy ul. Juracka 24 parking: tak
Jur 25,Apartament 4-osobowy ul. Juracka 25 parking: tak
Jur 26,Apartament 4-osobowy ul. Juracka 26 parking: tak
Jur 27,Apartament 2-osobowy ul. Juracka 27 bez parkingu
Jur 28,Apartament 4-osobowy ul. Juracka 28 parking: tak
Jur 29,Apartament 4-osobowy ul. Juracka 29 parking: tak
Jur 30,Apartament 4-osobowy ul. Juracka 30 parking: tak
Jur 31,Apartament 4-osobowy ul. Juracka 31 parking: tak
Jur 32,Apartament 4-osobowy ul. Juracka 32 parking: tak
Jur 33,Apartament 6-osobowy ul. Juracka 33 parking: tak
Jur 34,Apartament 4-osobowy ul. Juracka 34 parking: tak
Jur 35,Apartament 4-osobowy ul. Juracka 35 parking: tak
Jur 36,Apartament 4-osobowy ul. Juracka 36 parking: tak
Jur 37,Apartament 2-osobowy ul. Juracka 37 bez parkingu
Jur 38,Apartament 4-osobowy ul. Juracka 38 parking: tak
Jur 39,Apartament 4-osobowy ul. Juracka 39 parking: tak
Jur 40,Apartament 4-osobowy ul. Juracka 40 parking: tak
Jur 41,Apartament 4-osobowy ul. Juracka 41 parking: tak
Jur 42,Apartament 4-osobowy ul. Juracka 42 parking: tak
Jur 43,Apartament 6-osobowy ul. Juracka 43 parking: tak
Jur 44,Apartament 4-osobowy ul. Juracka 44 parking: tak
Jur 45,Apartament 4-osobowy ul. Juracka 45 parking: tak
Jur 46,Apartament 4-osobowy ul. Juracka 46 parking: tak
Jur 47,Apartament 2-osobowy ul. Juracka 47 bez parkingu
Jur 48,Apartament 4-osobowy ul. Juracka 48 parking: tak
Jur 49,Apartament 4-osobowy ul. Juracka 49 parking: tak
Jur 50,Apartament 4-osobowy ul. Juracka 50 parking: tak
Jura 1,Apartament 4-osobowy ul. Juratska 1 parking: tak
Jura 2,Apartament 4-osobowy ul. Juratska 2 parking: tak
Jura 3,Apartament 4-osobowy ul. Juratska 3 parking: tak
Jura 4,Apartament 2-osobowy ul. Juratska 4 bez parkingu
Jura 5,Apartament 4-osobowy ul. Juratska 5 parking: tak
Jura 6,Apartament 6-osobowy ul. Juratska 6 parking: tak
Jura 7,Apartament 4-osobowy ul. Juratska 7 parking: tak
Jura 8,Apartament 4-osobowy ul. Juratska 8 parking: tak
Jura 9,Apartament 4-osobowy ul. Juratska 9 parking: tak
Jura 10,Apartament 4-osobowy ul. Juratska 10 parking: tak
Jura 11,Apartament 4-osobowy ul. Juratska 11 parking: tak
Jura 12,Apartament 4-osobowy ul. Juratska 12 parking: tak
Jura 13,Apartament 6-osobowy ul. Juratska 13 parking: tak
Jura 14,Apartament 4-osobowy ul. Juratska 14 parking: tak
Jura 15,Apartament 4-osobowy ul. Juratska 15 parking: tak
Jura 16,Apartament 4-osobowy ul. Juratska 16 parking: tak
Jura 17,Studio 2-osobowy ul. Juratska 17 bez parkingu
Jura 18,Apartament 4-osobowy ul. Juratska 18 parking: tak
Jura 19,Apartament 4-osobowy ul. Juratska 19 parking: tak
Jura 20,Apartament 4-osobowy ul. Juratska 20 parking: tak
Jura 21,Apartament 4-osobowy ul. Juratska 21 parking: tak zwierzeta - tak
Jura 22,Apartament 4-osobowy ul. Juratska 22 parking: tak
Jura 23,Apartament 6-osobowy ul. Juratska 23 parking: tak
Jura 24,Apartament 4-osobowy ul. Juratska 24 parking: tak
Jura 25,Apartament 4-osobowy ul. Juratska 25 parking: tak
Jura 26,Apartament 4-osobowy ul. Juratska 26 parking: tak
Jura 27,Apartament 2-osobowy ul. Juratska 27 bez parkingu
Jura 28,Apartament 4-osobowy ul. Juratska 28 parking: tak
Jura 29,Apartament 4-osobowy ul. Juratska 29 parking: tak
Jura 30,Apartament 4-osobowy ul. Juratska 30 parking: tak
Jura 31,Apartament 4-osobowy ul. Juratska 31 parking: tak
Jura 32,Apartament 4-osobowy ul. Juratska 32 parking: tak
Jura 33,Apartament 6-osobowy ul. Juratska 33 parking: tak
Jura 34,Apartament 4-osobowy ul. Juratska 34 parking: tak
Jura 35,Apartament 4-osobowy ul. Juratska 35 parking: tak
Jura 36,Apartament 4-osobowy ul. Juratska 36 parking: tak
Jura 37,Apartament 2-osobowy ul. Juratska 37 bez parkingu
Jura 38,Apartament 4-osobowy ul. Juratska 38 parking: tak
Jura 39,Apartament 4-osobowy ul. Juratska 39 parking: tak
Jura 40,Apartament 4-osobowy ul. Juratska 40 parking: tak
Jura 41,Apartament 4-osobowy ul. Juratska 41 parking: tak
Jura 42,Apartament 4-osobowy ul. Juratska 42 parking: tak
Jura 43,Apartament 6-osobowy ul. Juratska 43 parking: tak
Jura 44,Apartament 4-osobowy ul. Juratska 44 parking: tak
Jura 45,Apartament 4-osobowy ul. Juratska 45 parking: tak
Jura 46,Apartament 4-osobowy ul. Juratska 46 parking: tak
Jura 47,Apartament 2-osobowy ul. Juratska 47 bez parkingu
Jura 48,Apartament 4-osobowy ul. Juratska 48 parking: tak
Jura 49,Apartament 4-osobowy ul. Juratska 49 parking: tak
Jura 50,Apartament 4-osobowy ul. Juratska 50 parking: tak
Mech 1,Apartament 4-osobowy ul. Mechowa 1 parking: tak
Mech 2,Apartament 4-osobowy ul. Mechowa 2 parking: tak
Mech 3,Apartament 4-osobowy ul. Mechowa 3 parking: tak
Mech 4,Apartament 2-osobowy ul. Mechowa 4 bez parkingu
Mech 5,Apartament 4-osobowy ul. Mechowa 5 parking: tak
Mech 6,Apartament 6-osobowy ul. Mechowa 6 parking: tak
Mech 7,Apartament 4-osobowy ul. Mechowa 7 parking: tak
Mech 8,Apartament 4-osobowy ul. Mechowa 8 parking: tak
Mech 9,Apartament 4-osobowy ul. Mechowa 9 parking: tak
Mech 10,Apartament 4-osobowy ul. Mechowa 10 parking: tak
Mech 11,Apartament 4-osobowy ul. Mechowa 11 parking: tak zwierzeta - tak
Mech 12,Apartament 4-osobowy ul. Mechowa 12 parking: tak
Mech 13,Apartament 6-osobowy ul. Mechowa 13 parking: tak
Mech 14,Apartament 4-osobowy ul. Mechowa 14 parking: tak
Mech 15,Apartament 4-osobowy ul. Mechowa 15 parking: tak
Mech 16,Apartament 4-osobowy ul. Mechowa 16 parking: tak
Mech 17,Studio 2-osobowy ul. Mechowa 17 bez parkingu
Mech 18,Apartament 4-osobowy ul. Mechowa 18 parking: tak
Mech 19,Apartament 4-osobowy ul. Mechowa 19 parking: tak
Mech 20,Apartament 4-osobowy ul. Mechowa 20 parking: tak
Mech 21,Apartament 4-osobowy ul. Mechowa 21 parking: tak
Mech 22,Apartament 4-osobowy ul. Mechowa 22 parking: tak
Mech 23,Apartament 6-osobowy ul. Mechowa 23 parking: tak
Mech 24,Apartament 4-osobowy ul. Mechowa 24 parking: tak
Mech 25,Apartament 4-osobowy ul. Mechowa 25 parking: tak
Mech 26,Apartament 4-osobowy ul. Mechowa 26 parking: tak
Mech 27,Apartament 2-osobowy ul. Mechowa 27 bez parkingu
Mech 28,Apartament 4-osobowy ul. Mechowa 28 parking: tak
Mech 29,Apartament 4-osobowy ul. Mechowa 29 parking: tak
Mech 30,Apartament 4-osobowy ul. Mechowa 30 parking: tak
Mech 31,Apartament 4-osobowy ul. Mechowa 31 parking: tak
Mech 32,Apartament 4-osobowy ul. Mechowa 32 parking: tak
Mech 33,Apartament 6-osobowy ul. Mechowa 33 parking: tak
Mech 34,Apartament 4-osobowy ul. Mechowa 34 parking: tak
Mech 35,Apartament 4-osobowy ul. Mechowa 35 parking: tak
Mech 36,Apartament 4-osobowy ul. Mechowa 36 parking: tak
Mech 37,Apartament 2-osobowy ul. Mechowa 37 bez parkingu
Mech 38,Apartament 4-osobowy ul. Mechowa 38 parking: tak
Mech 39,Apartament 4-osobowy ul. Mechowa 39 parking: tak
Mech 40,Apartament 4-osobowy ul. Mechowa 40 parking: tak
Mech 41,Apartament 4-osobowy ul. Mechowa 41 parking: tak
Mech 42,Apartament 4-osobowy ul. Mechowa 42 parking: tak
Mech 43,Apartament 6-osobowy ul. Mechowa 43 parking: tak
Mech 44,Apartament 4-osobowy ul. Mechowa 44 parking: tak
Mech 45,Apartament 4-osobowy ul. Mechowa 45 parking: tak
Mech 46,Apartament 4-osobowy ul. Mechowa 46 parking: tak
Mech 47,Apartament 2-osobowy ul. Mechowa 47 bez parkingu
Mech 48,Apartament 4-osobowy ul. Mechowa 48 parking: tak
Mech 49,Apartament 4-osobowy ul. Mechowa 49 parking: tak
Mech 50,Apartament 4-osobowy ul. Mechowa 50 parking: tak
Puck 1,Apartament 4-osobowy ul. Pucka 1 parking: tak
Puck 2,Apartament 4-osobowy ul. Pucka 2 parking: tak
Puck 3,Apartament 4-osobowy ul. Pucka 3 parking: tak
Puck 4,Apartament 2-osobowy ul. Pucka 4 bez parkingu
Puck 5,Apartament 4-osobowy ul. Pucka 5 parking: tak
Puck 6,Apartament 6-osobowy ul. Pucka 6 parking: tak
Puck 7,Apartament 4-osobowy ul. Pucka 7 parking: tak
Puck 8,Apartament 4-osobowy ul. Pucka 8 parking: tak
Puck 9,Apartament 4-osobowy ul. Pucka 9 parking: tak
Puck 10,Apartament 4-osobowy ul. Pucka 10 parking: tak
Puck 11,Apartament 4-osobowy ul. Pucka 11 parking: tak
Puck 12,Apartament 4-osobowy ul. Pucka 12 parking: tak
Puck 13,Apartament 6-osobowy ul. Pucka 13 parking: tak
Puck 14,Apartament 4-osobowy ul. Pucka 14 parking: tak
Puck 15,Apartament 4-osobowy ul. Pucka 15 parking: tak
Puck 16,Apartament 4-osobowy ul. Pucka 16 parking: tak
Puck 17,Studio 2-osobowy ul. Pucka 17 bez parkingu
Puck 18,Apartament 4-osobowy ul. Pucka 18 parking: tak
Puck 19,Apartament 4-osobowy ul. Pucka 19 parking: tak
Puck 20,Apartament 4-osobowy ul. Pucka 20 parking: tak
Puck 21,Apartament 4-osobowy ul. Pucka 21 parking: tak
Puck 22,Apartament 4-osobowy ul. Pucka 22 parking: tak
Puck 23,Apartament 6-osobowy ul. Pucka 23 parking: tak
Puck 24,Apartament 4-osobowy ul. Pucka 24 parking: tak
Puck 25,Apartament 4-osobowy ul. Pucka 25 parking: tak
Puck 26,Apartament 4-osobowy ul. Pucka 26 parking: tak
Puck 27,Apartament 2-osobowy ul. Pucka 27 bez parkingu
Puck 28,Apartament 4-osobowy ul. Pucka 28 parking: tak
Puck 29,Apartament 4-osobowy ul. Pucka 29 parking: tak
Puck 30,Apartament 4-osobowy ul. Pucka 30 parking: tak
Puck 31,Apartament 4-osobowy ul. Pucka 31 parking: tak
Puck 32,Apartament 4-osobowy ul. Pucka 32 parking: tak
Puck 33,Apartament 6-osobowy ul. Pucka 33 parking: tak
Puck 34,Apartament 4-osobowy ul. Pucka 34 parking: tak
Puck 35,Apartament 4-osobowy ul. Pucka 35 parking: tak
Puck 36,Apartament 4-osobowy ul. Pucka 36 parking: tak
Puck 37,Apartament 2-osobowy ul. Pucka 37 bez parkingu
Puck 38,Apartament 4-osobowy ul. Pucka 38 parking: tak
Puck 39,Apartament 4-osobowy ul. Pucka 39 parking: tak
Puck 40,Apartament 4-osobowy ul. Pucka 40 parking: tak
Puck 41,Apartament 4-osobowy ul. Pucka 41 parking: tak
Puck 42,Apartament 4-osobowy ul. Pucka 42 parking: tak
Puck 43,Apartament 6-osobowy ul. Pucka 43 parking: tak
Puck 44,Apartament 4-osobowy ul. Pucka 44 parking: tak
Puck 45,Apartament 4-osobowy ul. Pucka 45 parking: tak
Puck 46,Apartament 4-osobowy ul. Pucka 46 parking: tak
Puck 47,Apartament 2-osobowy ul. Pucka 47 bez parkingu
Puck 48,Apartament 4-osobowy ul. Pucka 48 parking: tak
Puck 49,Apartament 4-osobowy ul. Pucka 49 parking: tak
Puck 50,Apartament 4-osobowy ul. Pucka 50 parking: tak
Puck 51,Apartament 4-osobowy ul. Pucka 51 parking: tak
Puck 52,Apartament 4-osobowy ul. Pucka 52 parking: tak
Puck 53,Apartament 6-osobowy ul. Pucka 53 parking: tak
Puck 54,Apartament 4-osobowy ul. Pucka 54 parking: tak
Puck 55,Apartament 4-osobowy ul. Pucka 55 parking: tak
Puck 56,Apartament 4-osobowy ul. Pucka 56 parking: tak
Puck 57,Apartament 2-osobowy ul. Pucka 57 bez parkingu
Puck 58,Apartament 4-osobowy ul. Pucka 58 parking: tak
Puck 59,Apartament 4-osobowy ul. Pucka 59 parking: tak
Puck 60,Apartament 4-osobowy ul. Pucka 60 parking: tak
Wł 1,Apartament 4-osobowy ul. Władysławowska 1 parking: tak
Wł 2,Apartament 4-osobowy ul. Władysławowska 2 parking: tak
Wł 3,Apartament 4-osobowy ul. Władysławowska 3 parking: tak
Wł 4,Apartament 2-osobowy ul. Władysławowska 4 bez parkingu
Wł 5,Apartament 4-osobowy ul. Władysławowska 5 parking: tak
Wł 6,Apartament 6-osobowy ul. Władysławowska 6 parking: tak
Wł 7,Apartament 4-osobowy ul. Władysławowska 7 parking: tak
Wł 8,Apartament 4-osobowy ul. Władysławowska 8 parking: tak
Wł 9,Apartament 4-osobowy ul. Władysławowska 9 parking: tak
Wł 10,Apartament 4-osobowy ul. Władysławowska 10 parking: tak
Wł 11,Apartament 4-osobowy ul. Władysławowska 11 parking: tak
Wł 12,Apartament 4-osobowy ul. Władysławowska 12 parking: tak
Wł 13,Apartament 6-osobowy ul. Władysławowska 13 parking: tak
Wł 14,Apartament 4-osobowy ul. Władysławowska 14 parking: tak
Wł 15,Apartament 4-osobowy ul. Władysławowska 15 parking: tak
Wł 16,Apartament 4-osobowy ul. Władysławowska 16 parking: tak
Wł 17,Studio 2-osobowy ul. Władysławowska 17 bez parkingu
Wł 18,Apartament 4-osobowy ul. Władysławowska 18 parking: tak
Wł 19,Apartament 4-osobowy ul. Władysławowska 19 parking: tak
Wł 20,Apartament 4-osobowy ul. Władysławowska 20 parking: tak
Wł 21,Apartament 4-osobowy ul. Władysławowska 21 parking: tak zwierzeta - tak
Wł 22,Apartament 4-osobowy ul. Władysławowska 22 parking: tak
Wł 23,Apartament 6-osobowy ul. Władysławowska 23 parking: tak
Wł 24,Apartament 4-osobowy ul. Władysławowska 24 parking: tak
Wł 25,Apartament 4-osobowy ul. Władysławowska 25 parking: tak
Wł 26,Apartament 4-osobowy ul. Władysławowska 26 parking: tak
Wł 27,Apartament 2-osobowy ul. Władysławowska 27 bez parkingu
Wł 28,Apartament 4-osobowy ul. Władysławowska 28 parking: tak
Wł 29,Apartament 4-osobowy ul. Władysławowska 29 parking: tak
Wł 30,Apartament 4-osobowy ul. Władysławowska 30 parking: tak
Wł 31,Apartament 4-osobowy ul. Władysławowska 31 parking: tak
Wł 32,Apartament 4-osobowy ul. Władysławowska 32 parking: tak
Wł 33,Apartament 6-osobowy ul. Władysławowska 33 parking: tak
Wł 34,Apartament 4-osobowy ul. Władysławowska 34 parking: tak
Wł 35,Apartament 4-osobowy ul. Władysławowska 35 parking: tak
Wł 36,Apartament 4-osobowy ul. Władysławowska 36 parking: tak
Wł 37,Apartament 2-osobowy ul. Władysławowska 37 bez parkingu
Wł 38,Apartament 4-osobowy ul. Władysławowska 38 parking: tak
Wł 39,Apartament 4-osobowy ul. Władysławowska 39 parking: tak
Wł 40,Apartament 4-osobowy ul. Władysławowska 40 parking: tak
Wł 41,Apartament 4-osobowy ul. Władysławowska 41 parking: tak
Wł 42,Apartament 4-osobowy ul. Władysławowska 42 parking: tak
Wł 43,Apartament 6-osobowy ul. Władysławowska 43 parking: tak
Wł 44,Apartament 4-osobowy ul. Władysławowska 44 parking: tak
Wł 45,Apartament 4-osobowy ul. Władysławowska 45 parking: tak
Wł 46,Apartament 4-osobowy ul. Władysławowska 46 parking: tak
Wł 47,Apartament 2-osobowy ul. Władysławowska 47 bez parkingu
Wł 48,Apartament 4-osobowy ul. Władysławowska 48 parking: tak
Wł 49,Apartament 4-osobowy ul. Władysławowska 49 parking: tak
Wł 50,Apartament 4-osobowy ul. Władysławowska 50 parking: tak
Wł 51,Apartament 4-osobowy ul. Władysławowska 51 parking: tak
Wł 52,Apartament 4-osobowy ul. Władysławowska 52 parking: tak
Wł 53,Apartament 6-osobowy ul. Władysławowska 53 parking: tak
Wł 54,Apartament 4-osobowy ul. Władysławowska 54 parking: tak
Wł 55,Apartament 4-osobowy ul. Władysławowska 55 parking: tak
Wł 56,Apartament 4-osobowy ul. Władysławowska 56 parking: tak
Wł 57,Apartament 2-osobowy ul. Władysławowska 57 bez parkingu
Wł 58,Apartament 4-osobowy ul. Władysławowska 58 parking: tak
Wł 59,Apartament 4-osobowy ul. Władysławowska 59 parking: tak
Wł 60,Apartament 4-osobowy ul. Władysławowska 60 parking: tak
Wł 61,Apartament 4-osobowy ul. Władysławowska 61 parking: tak
Wł 62,Apartament 4-osobowy ul. Władysławowska 62 parking: tak
Wł 63,Apartament 6-osobowy ul. Władysławowska 63 parking: tak
Wł 64,Apartament 4-osobowy ul. Władysławowska 64 parking: tak
Wł 65,Apartament 4-osobowy ul. Władysławowska 65 parking: tak
Wł 66,Apartament 4-osobowy ul. Władysławowska 66 parking: tak
Wł 67,Apartament 2-osobowy ul. Władysławowska 67 bez parkingu
Wł 68,Apartament 4-osobowy ul. Władysławowska 68 parking: tak
Wł 69,Apartament 4-osobowy ul. Władysławowska 69 parking: tak
Wł 70,Apartament 4-osobowy ul. Władysławowska 70 parking: tak
Wł 71,Apartament 4-osobowy ul. Władysławowska 71 parking: tak
Wł 72,Apartament 4-osobowy ul. Władysławowska 72 parking: tak
Wł 73,Apartament 6-osobowy ul. Władysławowska 73 parking: tak
Wł 74,Apartament 4-osobowy ul. Władysławowska 74 parking: tak
Wł 75,Apartament 4-osobowy ul. Władysławowska 75 parking: tak
Wł 76,Apartament 4-osobowy ul. Władysławowska 76 parking: tak
Wł 77,Apartament 2-osobowy ul. Władysławowska 77 bez parkingu
Wł 78,Apartament 4-osobowy ul. Władysławowska 78 parking: tak
Wł 79,Apartament 4-osobowy ul. Władysławowska 79 parking: tak
Wł 80,Apartament 4-osobowy ul. Władysławowska 80 parking: tak
Wł 81,Apartament 4-osobowy ul. Władysławowska 81 parking: tak
Wł 82,Apartament 4-osobowy ul. Władysławowska 82 parking: tak
Wł 83,Apartament 6-osobowy ul. Władysławowska 83 parking: tak
Wł 84,Apartament 4-osobowy ul. Władysławowska 84 parking: tak
Wł 85,Apartament 4-osobowy ul. Władysławowska 85 parking: tak
Wł 86,Apartament 4-osobowy ul. Władysławowska 86 parking: tak
Wł 87,Apartament 2-osobowy ul. Władysławowska 87 bez parkingu
Wł 88,Apartament 4-osobowy ul. Władysławowska 88 parking: tak
Wł 89,Apartament 4-osobowy ul. Władysławowska 89 parking: tak
Wł 90,Apartament 4-osobowy ul. Władysławowska 90 parking: tak
Wł 91,Apartament 4-osobowy ul. Władysławowska 91 parking: tak
Wł 92,Apartament 4-osobowy ul. Władysławowska 92 parking: tak
Wł 93,Apartament 6-osobowy ul. Władysławowska 93 parking: tak
Wł 94,Apartament 4-osobowy ul. Władysławowska 94 parking: tak
Wł 95,Apartament 4-osobowy ul. Władysławowska 95 parking: tak
Wł 96,Apartament 4-osobowy ul. Władysławowska 96 parking: tak
Wł 97,Apartament 2-osobowy ul. Władysławowska 97 bez parkingu
Wł 98,Apartament 4-osobowy ul. Władysławowska 98 parking: tak
Wł 99,Apartament 4-osobowy ul. Władysławowska 99 parking: tak
Wł 100,Apartament 4-osobowy ul. Władysławowska 100 parking: tak
